Symbol,FiscalYearEnd,sales,net_profit,eps,equity_capital,reserves,borrowings,roce_pct,roe_pct,debt_to_equity
MARUTI,Mar 2019,86068.0,7651.0,253.21,151.0,46941.0,160.0,19.0,16.25,0.003
MARUTI,Mar 2020,75660.0,5678.0,187.9,151.0,49262.0,184.0,9.0,11.49,0.004
MARUTI,Mar 2021,70372.0,4389.0,145.3,151.0,52350.0,541.0,11.0,8.36,0.01
MARUTI,Mar 2022,88330.0,3880.0,128.43,151.0,55182.0,426.0,6.0,7.01,0.008
MARUTI,Mar 2023,117571.0,8211.0,271.82,151.0,61640.0,1247.0,14.0,13.29,0.02
MARUTI,Mar 2024,141858.0,13488.0,429.01,157.0,85479.0,119.0,24.0,15.75,0.001
MARUTI,Mar 2025,152913.0,14500.0,461.2,157.0,96083.0,87.0,22.0,15.07,0.001
MARUTI,Mar 2026,183316.0,14680.0,466.9,157.0,106999.0,102.0,19.0,13.7,0.001
NESTLEIND,Mar 2025,20202.0,3208.0,16.63,96.0,3914.0,1167.0,96.0,80.0,0.291
NESTLEIND,Mar 2026,23155.0,3499.0,18.15,193.0,4964.0,444.0,85.0,67.85,0.086
NTPC,Mar 2015,79957.0,9992.0,10.09,8245.0,73849.0,102252.0,8.0,12.17,1.246
NTPC,Mar 2016,73396.0,10781.0,10.92,8245.0,83330.0,99424.0,7.0,11.77,1.086
NTPC,Mar 2017,82042.0,10714.0,10.83,8245.0,89593.0,113773.0,9.0,10.95,1.163
NTPC,Mar 2018,88083.0,10502.0,10.66,8245.0,95318.0,130049.0,9.0,10.14,1.256
NTPC,Mar 2019,100287.0,14034.0,13.88,9895.0,101462.0,173058.0,7.0,12.6,1.554
NTPC,Mar 2020,109464.0,11902.0,11.72,9895.0,108945.0,200630.0,10.0,10.02,1.688
NTPC,Mar 2021,111531.0,14969.0,15.09,9697.0,116042.0,210208.0,9.0,11.9,1.672
NTPC,Mar 2022,132669.0,16960.0,17.2,9697.0,125677.0,210707.0,9.0,12.53,1.556
NTPC,Mar 2023,176207.0,17121.0,17.44,9697.0,137326.0,222913.0,10.0,11.65,1.516
NTPC,Mar 2024,178525.0,21332.0,21.46,9697.0,151013.0,237131.0,10.0,13.27,1.476
NTPC,Mar 2025,188138.0,23953.0,24.16,9697.0,174374.0,250096.0,11.0,13.01,1.359
NTPC,Mar 2026,187385.0,27546.0,27.9,9697.0,193479.0,271005.0,9.0,13.56,1.334
ONGC,Mar 2015,160923.0,17703.0,14.29,4278.0,176177.0,53944.0,13.0,9.81,0.299
ONGC,Mar 2016,124036.0,13102.0,10.03,4278.0,193536.0,45500.0,13.0,6.62,0.23
ONGC,Mar 2017,282506.0,29169.0,19.03,6417.0,187969.0,80029.0,17.0,15.01,0.412
ONGC,Mar 2018,322706.0,26068.0,17.23,6417.0,197602.0,106550.0,14.0,12.78,0.522
ONGC,Mar 2019,421624.0,33938.0,24.28,6290.0,210644.0,107742.0,19.0,15.64,0.497
ONGC,Mar 2020,396728.0,11456.0,8.59,6290.0,198814.0,129473.0,10.0,5.59,0.631
ONGC,Mar 2021,303849.0,21360.0,12.96,6290.0,214691.0,133187.0,9.0,9.67,0.603
ONGC,Mar 2022,491246.0,49294.0,36.19,6290.0,253213.0,121986.0,16.0,19.0,0.47
ONGC,Mar 2023,632291.0,32778.0,28.17,6290.0,274357.0,142255.0,14.0,11.68,0.507
ONGC,Mar 2024,601581.0,55273.0,39.06,6290.0,332779.0,191195.0,18.0,16.3,0.564
ONGC,Mar 2025,612064.0,38329.0,28.8,6290.0,337150.0,187817.0,12.0,11.16,0.547
ONGC,Mar 2026,608663.0,49793.0,32.93,6290.0,365478.0,174316.0,14.0,13.39,0.469
POWERGRID,Mar 2015,17540.0,5046.0,5.43,5232.0,33207.0,96243.0,8.0,13.13,2.504
POWERGRID,Mar 2016,20652.0,5959.0,6.41,5232.0,38738.0,108545.0,9.0,13.55,2.469
POWERGRID,Mar 2017,25697.0,7451.0,8.01,5232.0,44634.0,118988.0,10.0,14.94,2.386
POWERGRID,Mar 2018,29954.0,8204.0,8.82,5232.0,49194.0,131503.0,10.0,15.07,2.416
POWERGRID,Mar 2019,35059.0,10034.0,10.79,5232.0,53857.0,146376.0,9.0,16.98,2.477
POWERGRID,Mar 2020,37744.0,11059.0,11.89,5232.0,59464.0,148270.0,11.0,17.09,2.292
POWERGRID,Mar 2021,39640.0,12036.0,12.94,5232.0,64704.0,143232.0,12.0,17.21,2.048
POWERGRID,Mar 2022,41622.0,16824.0,18.09,6975.0,69272.0,134696.0,11.0,22.07,1.767
POWERGRID,Mar 2023,45581.0,15417.0,16.58,6975.0,76039.0,126661.0,13.0,18.57,1.526
POWERGRID,Mar 2024,45843.0,15573.0,16.74,9301.0,77845.0,123516.0,13.0,17.87,1.417
POWERGRID,Mar 2025,45792.0,15521.0,16.69,9301.0,83362.0,131030.0,13.0,16.75,1.414
POWERGRID,Mar 2026,46733.0,15928.0,17.13,9301.0,91193.0,148071.0,9.0,15.85,1.473
